filename,category,extension,recommended_processing,retrieval_mode
"Appendix D-8, C6642-44 Control Panel Drawings, 22 Sample ICP R1S03 Digital Inputs.DWG",05_Control_Panel_Drawings,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-8, C6642-45 Control Panel Drawings, 23 Sample ICP R1S04 Digital Inputs.DWG",05_Control_Panel_Drawings,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-8, C6642-46 Control Panel Drawings, 24 Sample ICP R1S05 Digital Outputs.DWG",05_Control_Panel_Drawings,dwg,render_to_image_then_vision_ocr,multimodal
Appendix D-9 - Wiring Identification and Labelling.docx,01_Standards_Reference,docx,text_structure_extraction,text_or_structured
"Appendix F-1, Sample Network Architecture Drawing.dwg",07_Network_Architecture,dwg,render_to_image_then_vision_ocr,multimodal
Appendix G-1 - Standard SCADA Computer Hardware Configuration Specification.docx,08_SCADA,docx,text_structure_extraction,text_or_structured
Appendix G-2 - Sample SCADA Screens.pdf,08_SCADA,pdf,pdf_text_and_ocr_if_needed,text_or_structured
check_list_for_preparing_accident_investigation_report.pdf,09_Inspection_Accident,pdf,pdf_text_and_ocr_if_needed,text_or_structured
Checklist_for_inspection_of_2-cb-MAH_Factories.pdf,09_Inspection_Accident,pdf,pdf_text_and_ocr_if_needed,text_or_structured
Inspection_Report_Format_Checklis.pdf,09_Inspection_Accident,pdf,pdf_text_and_ocr_if_needed,text_or_structured
"SCADA, Controls & Instrumentation Systems Design Standards Manual_April, 2018_FINAL.pdf",01_Standards_Reference,pdf,pdf_text_and_ocr_if_needed,text_or_structured
